date,open,high,low,close,volume
2024-12-31,252.44,253.28,249.43,250.42,39480718.0
2024-12-30,252.23,253.5,250.75,252.2,35557542.0
2024-12-27,257.83,258.7,253.06,255.59,42355321.0
2024-12-26,258.19,260.1,257.63,259.02,27262983.0
2024-12-24,255.49,258.21,255.29,258.2,23234705.0
2024-12-23,254.77,255.65,253.45,255.27,40858774.0
2024-12-20,248.04,255.0,245.69,254.49,147495267.0
2024-12-19,247.5,252.0,247.0949,249.79,60882264.0
2024-12-18,252.16,254.28,247.74,248.05,56774101.0
2024-12-17,250.08,253.83,249.78,253.48,51356360.0
2024-12-16,247.99,251.38,247.65,251.04,51694753.0
2024-12-13,247.815,249.2902,246.24,248.13,33155290.0
2024-12-12,246.89,248.74,245.68,247.96,32777532.0
2024-12-11,247.96,250.8,246.2601,246.49,45205814.0
2024-12-10,246.89,248.21,245.34,247.77,36914806.0
2024-12-09,241.83,247.24,241.75,246.75,44649232.0
2024-12-06,242.905,244.63,242.08,242.84,36870619.0
2024-12-05,243.99,244.54,242.13,243.04,40033878.0
2024-12-04,242.87,244.11,241.25,243.01,44383935.0
2024-12-03,239.81,242.76,238.9,242.65,38861017.0
2024-12-02,237.27,240.79,237.16,239.59,48137103.0
2024-11-29,234.81,237.81,233.97,237.33,28481377.0
2024-11-27,234.465,235.69,233.8101,234.93,33498439.0
2024-11-26,233.33,235.57,233.33,235.06,45986189.0
2024-11-25,231.46,233.245,229.74,232.87,90152832.0
2024-11-22,228.06,230.7199,228.06,229.87,38168252.0
2024-11-21,228.88,230.155,225.7103,228.52,42108327.0
2024-11-20,228.06,229.93,225.89,229.0,35169566.0
2024-11-19,226.98,230.16,226.66,228.28,36211774.0
2024-11-18,225.25,229.74,225.17,228.02,44686020.0
2024-11-15,226.4,226.92,224.27,225.0,47923696.0
2024-11-14,225.02,228.87,225.0,228.22,44923941.0
2024-11-13,224.01,226.65,222.76,225.12,48566217.0
2024-11-12,224.55,225.59,223.355,224.23,40398299.0
2024-11-11,225.0,225.7,221.5,224.23,42005602.0
2024-11-08,227.17,228.66,226.405,226.96,38328824.0
2024-11-07,224.625,227.875,224.57,227.48,42137691.0
2024-11-06,222.61,226.065,221.19,222.72,54561121.0
2024-11-05,221.795,223.95,221.14,223.45,28111338.0
2024-11-04,220.99,222.79,219.71,222.01,44944468.0
2024-11-01,220.965,225.35,220.27,222.91,65276741.0
2024-10-31,229.34,229.83,225.37,225.91,64370086.0
2024-10-30,232.61,233.47,229.55,230.1,47070907.0
2024-10-29,233.1,234.325,232.32,233.67,35417247.0
2024-10-28,233.32,234.73,232.55,233.4,36087134.0
2024-10-25,229.74,233.22,229.57,231.41,38802304.0
2024-10-24,229.98,230.82,228.41,230.57,31109503.0
2024-10-23,234.08,235.144,227.76,230.76,52286979.0
2024-10-22,233.885,236.22,232.6,235.86,38846578.0
2024-10-21,234.45,236.85,234.45,236.48,36254470.0
2024-10-18,236.18,236.18,234.01,235.0,46431472.0
2024-10-17,233.43,233.85,230.52,232.15,32993810.0
2024-10-16,231.6,232.12,229.84,231.78,34082240.0
2024-10-15,233.61,237.49,232.37,233.85,64751367.0
2024-10-14,228.7,231.73,228.6,231.3,39882085.0
2024-10-11,229.3,229.41,227.34,227.55,31759188.0
2024-10-10,227.78,229.5,227.17,229.04,28183544.0
2024-10-09,225.23,229.75,224.83,229.54,33591091.0
2024-10-08,224.3,225.98,223.25,225.77,31855693.0
2024-10-07,224.5,225.69,221.33,221.69,39505354.0
2024-10-04,227.9,228.0,224.13,226.8,37345098.0
2024-10-03,225.14,226.805,223.32,225.67,34044158.0
2024-10-02,225.89,227.37,223.02,226.78,32880605.0
2024-10-01,229.52,229.65,223.74,226.21,63285048.0
2024-09-30,230.04,233.0,229.65,233.0,54793391.0
2024-09-27,228.46,229.52,227.3,227.79,34025967.0
2024-09-26,227.3,228.5,225.41,227.52,36636707.0
2024-09-25,224.93,227.29,224.02,226.37,42308715.0
2024-09-24,228.645,229.35,225.73,227.37,43556068.0
2024-09-23,227.34,229.45,225.81,226.47,54146023.0
2024-09-20,229.97,233.09,227.62,228.2,318679888.0
2024-09-19,224.99,229.82,224.63,228.87,66781315.0
2024-09-18,217.55,222.71,217.54,220.69,59894928.0
2024-09-17,215.75,216.9,214.5,216.79,45519339.0
2024-09-16,216.54,217.22,213.92,216.32,59357427.0
2024-09-13,223.58,224.04,221.91,222.5,36766619.0
2024-09-12,222.5,223.55,219.82,222.77,37498225.0
2024-09-11,221.455,223.09,217.89,222.66,44587072.0
2024-09-10,218.92,221.48,216.73,220.11,51591033.0
2024-09-09,220.82,221.27,216.71,220.91,67179965.0
2024-09-06,223.95,225.24,219.77,220.82,48423011.0
2024-09-05,221.625,225.48,221.52,222.38,36615398.0
2024-09-04,221.66,221.78,217.48,220.85,43262758.0
2024-09-03,228.55,229.0,221.17,222.77,50190574.0
2024-08-30,230.19,230.4,227.48,229.0,52990770.0
2024-08-29,230.1,232.92,228.88,229.79,51906297.0
2024-08-28,227.92,229.86,225.68,226.49,38052167.0
2024-08-27,225.995,228.85,224.89,228.03,35934559.0
2024-08-26,226.76,227.28,223.8905,227.18,30602208.0
2024-08-23,225.6589,228.22,224.33,226.84,38677250.0
2024-08-22,227.79,228.34,223.9,224.53,43695321.0
2024-08-21,226.52,227.98,225.05,226.4,34765480.0
2024-08-20,225.77,227.17,225.45,226.51,30299033.0
2024-08-19,225.72,225.99,223.04,225.89,40687813.0
2024-08-16,223.92,226.8271,223.6501,226.05,44340240.0
2024-08-15,224.6,225.35,222.76,224.72,46414013.0
2024-08-14,220.57,223.03,219.7,221.72,41960574.0
2024-08-13,219.01,221.89,219.01,221.27,44155331.0
2024-08-12,216.07,219.5099,215.6,217.53,38028092.0
2024-08-09,212.1,216.78,211.97,216.24,42201646.0
2024-08-08,213.11,214.2,208.83,213.31,47161149.0
2024-08-07,206.9,213.64,206.39,209.82,63516417.0
2024-08-06,205.3,209.99,201.07,207.23,69660488.0
2024-08-05,199.09,213.5,196.0,209.27,119548589.0
2024-08-02,219.15,225.6,217.71,219.86,105568560.0
2024-08-01,224.37,224.48,217.02,218.36,62500996.0
2024-07-31,221.44,223.82,220.63,222.08,50036262.0
2024-07-30,219.19,220.325,216.12,218.8,41643840.0
2024-07-29,216.96,219.3,215.75,218.24,36311778.0
2024-07-26,218.7,219.49,216.01,217.96,41601345.0
2024-07-25,218.93,220.85,214.62,217.49,51391199.0
2024-07-24,224.0,224.8,217.13,218.54,61777576.0
2024-07-23,224.365,226.94,222.68,225.01,39960260.0
2024-07-22,227.01,227.78,223.09,223.96,48201835.0
2024-07-19,224.82,226.8,223.275,224.31,49151453.0
2024-07-18,230.28,230.44,222.27,224.18,66034585.0
2024-07-17,229.45,231.4599,226.64,228.88,57345884.0
2024-07-16,235.0,236.27,232.33,234.82,43234278.0
2024-07-15,236.48,237.23,233.09,234.4,62631252.0
2024-07-12,228.92,232.64,228.68,230.54,53046527.0
2024-07-11,231.39,232.39,225.77,227.57,64710617.0
2024-07-10,229.3,233.08,229.25,232.98,62627687.0
2024-07-09,227.93,229.4,226.3721,228.68,48169822.0
2024-07-08,227.09,227.85,223.25,227.82,59085861.0
2024-07-05,221.65,226.45,221.65,226.34,60412408.0
2024-07-03,220.0,221.55,219.03,221.55,37369801.0
2024-07-02,216.15,220.38,215.1,220.27,58046178.0
2024-07-01,212.09,217.51,211.92,216.75,60402929.0
2024-06-28,215.77,216.07,210.3,210.62,82542718.0
2024-06-27,214.69,215.7395,212.35,214.1,49772707.0
2024-06-26,211.5,214.86,210.64,213.25,66213186.0
2024-06-25,209.15,211.38,208.61,209.07,56713868.0
2024-06-24,207.72,212.7,206.59,208.14,80727006.0
2024-06-21,210.39,211.89,207.11,207.49,246421353.0
2024-06-20,213.93,214.24,208.85,209.68,86172451.0
2024-06-18,217.59,218.63,213.0,214.29,79943254.0
2024-06-17,213.37,218.95,212.72,216.67,93728300.0
2024-06-14,213.85,215.17,211.3,212.49,70122748.0
2024-06-13,214.74,216.75,211.6,214.24,97862729.0
2024-06-12,207.37,220.2,206.9,213.07,198134293.0
2024-06-11,193.65,207.16,193.63,207.15,172373296.0
2024-06-10,196.9,197.3,192.15,193.12,97262077.0
2024-06-07,194.65,196.94,194.14,196.89,53103912.0
2024-06-06,195.685,196.5,194.17,194.48,41181753.0
2024-06-05,195.4,196.9,194.87,195.87,54156785.0
2024-06-04,194.635,195.32,193.0342,194.35,47471445.0
2024-06-03,192.9,194.99,192.52,194.03,50080539.0
2024-05-31,191.44,192.57,189.91,192.25,75158277.0
2024-05-30,190.76,192.18,190.63,191.29,49947941.0
2024-05-29,189.61,192.247,189.51,190.29,53068016.0
2024-05-28,191.51,193.0,189.1,189.99,52280051.0
2024-05-24,188.82,190.58,188.0404,189.98,36326975.0
2024-05-23,190.98,191.0,186.625,186.88,51005924.0
2024-05-22,192.265,192.8231,190.27,190.9,34648547.0
2024-05-21,191.09,192.73,190.9201,192.35,42309401.0
2024-05-20,189.325,191.9199,189.01,191.04,44361275.0
2024-05-17,189.51,190.81,189.18,189.87,41282925.0
2024-05-16,190.47,191.095,189.6601,189.84,52845230.0
2024-05-15,187.91,190.65,187.37,189.72,70399988.0
2024-05-14,187.51,188.3,186.29,187.43,52393619.0
2024-05-13,185.435,187.1,184.62,186.28,72044809.0
2024-05-10,184.9,185.09,182.13,183.05,50759496.0
2024-05-09,182.56,184.66,182.11,184.57,48982972.0
2024-05-08,182.85,183.07,181.45,182.74,45057087.0
2024-05-07,183.45,184.9,181.32,182.4,77305771.0
2024-05-06,182.354,184.2,180.42,181.71,78569667.0
2024-05-03,186.645,187.0,182.66,183.38,163224109.0
2024-05-02,172.51,173.415,170.89,173.03,94214915.0
